Sentence,Entity,Output
I'm craving Meat,Cuisine,Meat
My favorite is စင်ကာပူအစားအစာ,Cuisine,စင်ကာပူအစားအစာ
I'm interested in Turkish,Cuisine,Turkish
Let's go for Bubble Tea,Cuisine,Bubble Tea
Pakistani is my favorite,Cuisine,Pakistani
I want to spend around 460,Money,460
I can spend up to 978,Money,978
I have around 909 for the meal,Money,909
I love Vietnámi food,Cuisine,Vietnámi
I'm looking for something within 234,Money,234
Let's go for Kínai,Cuisine,Kínai
In Cox's Bazar right now,Location,Cox's Bazar
I want to try သရေစာများ,Cuisine,သရေစာများ
I'm interested in Chicken Chop,Cuisine,Chicken Chop
I'm comfortable spending 143,Money,143
How about Noodles,Cuisine,Noodles
Hailing from Johor Bahru,Location,Johor Bahru
Hailing from Samut Prakan,Location,Samut Prakan
I'm in Bangkok,Location,Bangkok
I'm looking for Gyros,Cuisine,Gyros
I would like ပီဇာ cuisine,Cuisine,ပီဇာ
I have around 203 for the meal,Money,203
My budget is 608,Money,608
I have 116 to spend,Money,116
I'm in the mood for Nasi Kukus,Cuisine,Nasi Kukus
I'm looking for something within 152,Money,152
My location is Sukkur,Location,Sukkur
My favorite is Japanese,Cuisine,Japanese
I have 604 to spend,Money,604
I want to spend around 812,Money,812
My location is Kuching,Location,Kuching
I have 805 to spend,Money,805
I'm willing to pay 818,Money,818
In Pattani right now,Location,Pattani
In Bahawalpur right now,Location,Bahawalpur
I have 562 to spend,Money,562
I can spend up to 745,Money,745
I can afford 287,Money,287
I reside in Ormoc Leyte,Location,Ormoc Leyte
I'm in the mood for Lechon,Cuisine,Lechon
I have 243 to spend,Money,243
I'm located in Kinmen County,Location,Kinmen County
Zvolen is my current location,Location,Zvolen
I'm ready to spend 22,Money,22
Lampang is my home,Location,Lampang
I'm looking for something within 471,Money,471
My current Kalasin is Kalasin,Location,Kalasin
How about ဆန်ခေါက်ဆွဲ,Cuisine,ဆန်ခေါက်ဆွဲ
I'm looking for Southeast Asian,Cuisine,Southeast Asian
I can afford 106,Money,106
How about အာရှ,Cuisine,အာရှ
Pakistani is my favorite,Cuisine,Pakistani
Lahore is my home,Location,Lahore
I am currently living in Trang,Location,Trang
My budget is 653,Money,653
I can spend up to 727,Money,727
I would like Soups cuisine,Cuisine,Soups
I'm looking for something within 605,Money,605
I'm willing to pay 191,Money,191
I want to spend around 968,Money,968
I have 90 to spend,Money,90
I have 679 to spend,Money,679
I'm comfortable spending 478,Money,478
Let's go for Asian,Cuisine,Asian
I would like Halal cuisine,Cuisine,Halal
I have around 287 for the meal,Money,287
My current Gujranwala is Gujranwala,Location,Gujranwala
I'm interested in 異國,Cuisine,異國
My budget is 810,Money,810
I would like Dumpling cuisine,Cuisine,Dumpling
I want to spend around 424,Money,424
I'm ready to spend 133,Money,133
I love Greek food,Cuisine,Greek
In Ratchaburi right now,Location,Ratchaburi
My home Nakhon Nayok is Nakhon Nayok,Location,Nakhon Nayok
I can afford 752,Money,752
Let's go for သက်သက်လွတ်,Cuisine,သက်သက်လွတ်
I'm craving Mexican,Cuisine,Mexican
I'm looking for Northern Thai,Cuisine,Northern Thai
I'm in Khammouane,Location,Khammouane
I have 888 to spend,Money,888
I'm ready to spend 697,Money,697
I'm ready to spend 847,Money,847
How about ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
How about Porridge,Cuisine,Porridge
How about Vietnamská,Cuisine,Vietnamská
I want to spend around 175,Money,175
My budget is 608,Money,608
I'm in the mood for ອາຊີ,Cuisine,ອາຊີ
Kaohsiung City is my current Kaohsiung City,Location,Kaohsiung City
I enjoy Juice,Cuisine,Juice
I'm willing to pay 234,Money,234
In Poipet right now,Location,Poipet
In Quezon City right now,Location,Quezon City
From Savannakhet here,Location,Savannakhet
Sadiqabad is my home,Location,Sadiqabad
I'm looking for Ulam,Cuisine,Ulam
I'm in Kushtia,Location,Kushtia
My current Narsingdi is Narsingdi,Location,Narsingdi
I have around 926 for the meal,Money,926
I'm looking for something within 356,Money,356
My budget is 750,Money,750
I'm ready to spend 16,Money,16
I'm looking for Desserts,Cuisine,Desserts
Let's go for Cha Chaan Teng,Cuisine,Cha Chaan Teng
I have around 129 for the meal,Money,129
I can spend up to 182,Money,182
My budget is 755,Money,755
My location is Tainan City,Location,Tainan City
I have around 843 for the meal,Money,843
Kampong Thom is where I live,Location,Kampong Thom
I have 463 to spend,Money,463
I'm ready to spend 674,Money,674
Valencia Bukidnon is my home,Location,Valencia Bukidnon
I can afford 937,Money,937
My home San Juan is San Juan,Location,San Juan
Hailing from Bintulu,Location,Bintulu
My location is Quezon City,Location,Quezon City
In Kamphaeng Phet right now,Location,Kamphaeng Phet
I reside in Nan,Location,Nan
My location is Narsingdi,Location,Narsingdi
I would like Fruit Shake cuisine,Cuisine,Fruit Shake
My budget is 953,Money,953
I would like American cuisine,Cuisine,American
I'm ready to spend 361,Money,361
I can afford 773,Money,773
I'm comfortable spending 935,Money,935
My home Natore is Natore,Location,Natore
Pontian is my current Pontian,Location,Pontian
My budget is 397,Money,397
I'm craving Noodles,Cuisine,Noodles
I have 879 to spend,Money,879
Tak is my home,Location,Tak
I live in Mandalay,Location,Mandalay
My current Chachoengsao is Chachoengsao,Location,Chachoengsao
Samut Sakhon is my place,Location,Samut Sakhon
I'm looking for something within 59,Money,59
Sahiwal is my current location,Location,Sahiwal
I'm interested in Desserts,Cuisine,Desserts
I want to spend around 798,Money,798
From Mymensingh here,Location,Mymensingh
I'm located in Mae Hong Son,Location,Mae Hong Son
I'm craving Malaysian,Cuisine,Malaysian
I'm ready to spend 248,Money,248
I would like ຟີລິບປິນ cuisine,Cuisine,ຟີລິບປິນ
In Kerian right now,Location,Kerian
Satkhira is where I live,Location,Satkhira
I have 673 to spend,Money,673
I'm craving Blízkovýchodná,Cuisine,Blízkovýchodná
I'm craving ຂອງຫວານ,Cuisine,ຂອງຫວານ
Hailing from Buriram,Location,Buriram
I'm in the mood for Singaporean,Cuisine,Singaporean
I'm in the mood for Japonská,Cuisine,Japonská
My favorite is Mee Goreng,Cuisine,Mee Goreng
Kuala Pilah is my home,Location,Kuala Pilah
I have around 222 for the meal,Money,222
I want to spend around 691,Money,691
Multan is my home,Location,Multan
I love ລາວ food,Cuisine,ລາວ
I have 116 to spend,Money,116
I would like Vega & Vegán cuisine,Cuisine,Vega & Vegán
Vientiane Capital is my current location,Location,Vientiane Capital
I would like Coffee cuisine,Cuisine,Coffee
I can spend up to 24,Money,24
I'm ready to spend 765,Money,765
Dagupan Pangasinan is my current location,Location,Dagupan Pangasinan
I'm located in Kuantan,Location,Kuantan
I'm comfortable spending 754,Money,754
I live in Bhola,Location,Bhola
I can afford 733,Money,733
I want to spend around 387,Money,387
Tangail is my place,Location,Tangail
I have around 318 for the meal,Money,318
I'm looking for something within 399,Money,399
I have 623 to spend,Money,623
I'm ready to spend 70,Money,70
My current Klang is Klang,Location,Klang
I want to spend around 484,Money,484
My current Szeged is Szeged,Location,Szeged
အဖျော်ယမကာများ is my favorite,Cuisine,အဖျော်ယမကာများ
I'm ready to spend 206,Money,206
I want to spend around 330,Money,330
My favorite is 健康餐,Cuisine,健康餐
I'm located in Singapore,Location,Singapore
Living in Košice,Location,Košice
Mae Hong Son is my current Mae Hong Son,Location,Mae Hong Son
Kangar is where I reside,Location,Kangar
Savar is where I live,Location,Savar
I'm ready to spend 246,Money,246
I am currently living in Luang Prabang,Location,Luang Prabang
I am currently living in Kamphaeng Phet,Location,Kamphaeng Phet
Let's go for Taiwanese,Cuisine,Taiwanese
Phetchaburi is my home,Location,Phetchaburi
Ta Khmau is where I live,Location,Ta Khmau
I'm willing to pay 634,Money,634
I want to try ဗီယက်နမ်အစားအစာ,Cuisine,ဗီယက်နမ်အစားအစာ
I have around 776 for the meal,Money,776
I'm willing to pay 502,Money,502
I reside in Faridpur,Location,Faridpur
I'm craving Tom Yum,Cuisine,Tom Yum
Taguig City is my place,Location,Taguig City
My budget is 304,Money,304
I'm comfortable spending 856,Money,856
I love Spanish food,Cuisine,Spanish
I love Svetová food,Cuisine,Svetová
I'm willing to pay 884,Money,884
I have 355 to spend,Money,355
I'm looking for something within 189,Money,189
I would like Hamburger cuisine,Cuisine,Hamburger
How about French,Cuisine,French
I'm interested in Ice Cream,Cuisine,Ice Cream
I have 467 to spend,Money,467
Living in Kanchanaburi,Location,Kanchanaburi
Living in Bogra,Location,Bogra
I'm willing to pay 835,Money,835
Currently in Islamabad,Location,Islamabad
I have around 978 for the meal,Money,978
I'm ready to spend 616,Money,616
I want to spend around 791,Money,791
I enjoy Ázsiai,Cuisine,Ázsiai
I want to try International,Cuisine,International
I'm ready to spend 401,Money,401
I have 656 to spend,Money,656
From Pécs here,Location,Pécs
Bangkok is my home,Location,Bangkok
From Nakhon Sawan here,Location,Nakhon Sawan
How about Vegetarian,Cuisine,Vegetarian
I would like Halo-Halo cuisine,Cuisine,Halo-Halo
I would like Vietnámi cuisine,Cuisine,Vietnámi
My favorite is Francia,Cuisine,Francia
I'm comfortable spending 140,Money,140
I can afford 658,Money,658
I can spend up to 787,Money,787
I love ငါး food,Cuisine,ငါး
My budget is 742,Money,742
I reside in Chai Nat,Location,Chai Nat
Let's go for 港式,Cuisine,港式
I'm comfortable spending 474,Money,474
I'm comfortable spending 928,Money,928
I want to spend around 635,Money,635
I can spend up to 450,Money,450
I reside in Szeged,Location,Szeged
I live in Kota Tinggi,Location,Kota Tinggi
I live in Bayan Baru,Location,Bayan Baru
I want to try Biryani,Cuisine,Biryani
I'm interested in Hamburger,Cuisine,Hamburger
I'm comfortable spending 880,Money,880
I enjoy ငါး,Cuisine,ငါး
I have around 878 for the meal,Money,878
Let's go for Ayam Penyet,Cuisine,Ayam Penyet
I want to try Západná,Cuisine,Západná
How about 歐美,Cuisine,歐美
I'm ready to spend 619,Money,619
I'm willing to pay 65,Money,65
My favorite is 台式,Cuisine,台式
Let's go for American,Cuisine,American
My favorite is Asian,Cuisine,Asian
From Rayong here,Location,Rayong
My current Sheikhupura is Sheikhupura,Location,Sheikhupura
I reside in Nakhon Nayok,Location,Nakhon Nayok
I love Ulam food,Cuisine,Ulam
I'm located in Chittagong,Location,Chittagong
I would like Mee Goreng cuisine,Cuisine,Mee Goreng
I'm ready to spend 436,Money,436
My home Sadiqabad is Sadiqabad,Location,Sadiqabad
I would like Sushi cuisine,Cuisine,Sushi
I am currently living in San Juan,Location,San Juan
I want to spend around 190,Money,190
My budget is 392,Money,392
Takeo is my current Takeo,Location,Takeo
I'm comfortable spending 101,Money,101
I want to spend around 147,Money,147
Vegan is my favorite,Cuisine,Vegan
I can afford 546,Money,546
I have 778 to spend,Money,778
My location is Győr,Location,Győr
Let's go for Alcohol,Cuisine,Alcohol
Singapore is where I live,Location,Singapore
I want to try Isan Thai,Cuisine,Isan Thai
Uttaradit is my home,Location,Uttaradit
Poprad is my place,Location,Poprad
My budget is 554,Money,554
I can spend up to 489,Money,489
Mandaluyong City is my home,Location,Mandaluyong City
I want to spend around 409,Money,409
I'm ready to spend 250,Money,250
I'm willing to pay 207,Money,207
I can spend up to 199,Money,199
Currently in Taiping,Location,Taiping
I'm ready to spend 583,Money,583
Currently in Khulna,Location,Khulna
Let's go for Fried Chicken,Cuisine,Fried Chicken
Bhola is my home,Location,Bhola
I'm comfortable spending 471,Money,471
I'm located in Jamalpur,Location,Jamalpur
My location is Savannakhet,Location,Savannakhet
I can afford 1000,Money,1000
I'm craving Saláta,Cuisine,Saláta
I'm interested in Donut,Cuisine,Donut
How about Pakistani,Cuisine,Pakistani
My home Samarahan is Samarahan,Location,Samarahan
Luang Prabang is my place,Location,Luang Prabang
Roi Et is my place,Location,Roi Et
I want to try Fried Rice,Cuisine,Fried Rice
I'm craving ຕາເວັນອອກກາງ,Cuisine,ຕາເວັນອອກກາງ
I'm in the mood for Ulam,Cuisine,Ulam
I can spend up to 737,Money,737
My home Sirajganj is Sirajganj,Location,Sirajganj
I would like Southern Thai cuisine,Cuisine,Southern Thai
I'm craving Americká,Cuisine,Americká
I'm comfortable spending 631,Money,631
How about Spanyol,Cuisine,Spanyol
I live in Gazipur,Location,Gazipur
Hailing from Kuantan,Location,Kuantan
Phetchabun is my location,Location,Phetchabun
Living in Phetchaburi,Location,Phetchaburi
In Yangon right now,Location,Yangon
I enjoy Bowl,Cuisine,Bowl
I can afford 251,Money,251
Moulvibazar is my place,Location,Moulvibazar
My favorite is Bakery,Cuisine,Bakery
In Ratchaburi right now,Location,Ratchaburi
I'm comfortable spending 156,Money,156
I have 979 to spend,Money,979
In Saravane right now,Location,Saravane
I'm willing to pay 654,Money,654
I'm willing to pay 192,Money,192
In Satkhira right now,Location,Satkhira
I love Poke Bowl food,Cuisine,Poke Bowl
Chachoengsao is my home,Location,Chachoengsao
I want to try Satay,Cuisine,Satay
I have around 594 for the meal,Money,594
